"","Brew_ID","Name.x","City","State","Name.y","ABV","IBU","Brewery_id","Style","Ounces"
"1",1,"NorthGate Brewing ","Minneapolis"," MN","Dale's Pale Ale",0.065,65,167,"American Pale Ale (APA)",12
"2",4,"Mike Hess Brewing Company","San Diego"," CA","Gordon Ale (2009)",0.087,85,167,"American Double / Imperial IPA",12
"3",5,"Fort Point Beer Company","San Francisco"," CA","Old Chub",0.08,35,167,"Scottish Ale",12
"4",6,"COAST Brewing Company","Charleston"," SC","GUBNA Imperial IPA",0.099,100,167,"American Double / Imperial IPA",12
"5",7,"Great Divide Brewing Company","Denver"," CO","Mama's Little Yella Pils",0.053,35,167,"Czech Pilsener",12
"6",8,"Tapistry Brewing","Bridgman"," MI","Ten Fidy Imperial Stout",0.099,98,167,"Russian Imperial Stout",12
"7",9,"Big Lake Brewing","Holland"," MI","Hell or High Watermelon Wheat",0.049,17,369,"Fruit / Vegetable Beer",12
"8",10,"The Mitten Brewing Company","Grand Rapids"," MI","Brew Free! or Die IPA",0.07,65,369,"American IPA",12
"9",11,"Brewery Vivant","Grand Rapids"," MI","Monk's Blood",0.083,35,369,"Belgian Dark Ale",12
"10",12,"Petoskey Brewing","Petoskey"," MI","Furious",0.062,99,62,"American IPA",16
"11",13,"Blackrocks Brewery","Marquette"," MI","CynicAle",0.067,33,62,"Saison / Farmhouse Ale",16
"12",14,"Perrin Brewing Company","Comstock Park"," MI","Hell",0.051,20,62,"Keller Bier / Zwickel Bier",16
"13",15,"Witch's Hat Brewing Company","South Lyon"," MI","Abrasive Ale",0.097,120,62,"American Double / Imperial IPA",16
"14",16,"Founders Brewing Company","Grand Rapids"," MI","Bender",0.051,45,62,"American Brown Ale",16
"15",17,"Flat 12 Bierwerks","Indianapolis"," IN","Coffee Bender",0.051,45,62,"American Brown Ale",16
"16",18,"Tin Man Brewing Company","Evansville"," IN","SurlyFest",0.055,34,62,"Rye Beer",16
"17",19,"Black Acre Brewing Co.","Indianapolis"," IN","Bitter Brewer",0.04,37,62,"English Bitter",16
"18",20,"Brew Link Brewing","Plainfield"," IN","Phoenix Pale Ale",0.051,40,372,"American Pale Ale (APA)",12
"19",21,"Bare Hands Brewery","Granger"," IN","Pikeland Pils",0.049,44,372,"German Pilsener",12
"20",22,"Three Pints Brewing","Martinsville"," IN","Royal Weisse Ale",0.056,11,372,"Hefeweizen",12
"21",23,"Four Fathers Brewing ","Valparaiso"," IN","Dunkel Lager",0.053,21,372,"Munich Dunkel Lager",12
"22",24,"Indiana City Brewing","Indianapolis"," IN","113 IPA",0.07,113,372,"American IPA",12
"23",26,"Sun King Brewing Company","Indianapolis"," IN","Black Noddy Lager (Current)",0.052,40,531,"Schwarzbier",16
"24",27,"Evil Czech Brewery","Mishawaka"," IN","Original Orange Blossom Ale (Current)",0.058,35,531,"Herbed / Spiced Beer",16
"25",28,"450 North Brewing Company","Columbus"," IN","Tule Duck Red Ale (Current)",0.062,42,531,"American Amber / Red Ale",16
"26",31,"SanTan Brewing Company","Chandler"," AZ","Big Swell IPA",0.062,65,376,"American IPA",12
"27",32,"Boulevard Brewing Company","Kansas City"," MO","CoCoNut Porter",0.057,30,376,"American Porter",12
"28",33,"James Page Brewing Company","Stevens Point"," WI","Bikini Blonde Lager",0.045,18,376,"Munich Helles Lager",12
"29",34,"The Dudes' Brewing Company","Torrance"," CA","Moose Drool Brown Ale (2009)",0.051,26,337,"American Brown Ale",12
"30",35,"Ballast Point Brewing Company","San Diego"," CA","Montana Trout Slayer Ale (2009)",0.05,35,337,"American Pale Wheat Ale",12
"31",36,"Anchor Brewing Company","San Francisco"," CA","Caldera IPA",0.061,94,156,"American IPA",12
"32",37,"Figueroa Mountain Brewing Company","Buellton"," CA","Ashland Amber Ale",0.054,24,156,"American Amber / Red Ale",12
"33",38,"Avery Brewing Company","Boulder"," CO","Caldera Pale Ale (2011)",0.056,55,156,"American Pale Ale (APA)",12
"34",42,"Lost Nation Brewing","East Fairfield"," VT","Gandhi-Bot Double IPA (16 oz.) (2010)",0.088,85,411,"American Double / Imperial IPA",16
"35",44,"Rivertowne Brewing Company","Export"," PA","Bombshell Blonde",0.05,20,119,"American Blonde Ale",12
"36",45,"Revolution Brewing Company","Chicago"," IL","Pine Belt Pale Ale",0.065,45,119,"American Pale Ale (APA)",16
"37",46,"Tallgrass Brewing Company","Manhattan"," KS","Buried Hatchet Stout",0.083,50,119,"Foreign / Export Stout",12
"38",47,"Sixpoint Craft Ales","Brooklyn"," NY","Ballz Deep Double IPA",0.084,82,482,"American Double / Imperial IPA",16
"39",48,"White Birch Brewing","Hooksett"," NH","British Pale Ale",0.054,30,482,"English Pale Ale",16
"40",53,"Pipeworks Brewing Company","Chicago"," IL","Schlafly Summer Lager",0.045,17,429,"Munich Helles Lager",12
"41",54,"Bent Brewstillery","Roseville"," MN","Osiris Pale Ale (2010)",0.056,50,26,"American Pale Ale (APA)",16
"42",55,"Flesk Brewing Company","Lombard"," IL","Sunlight Cream Ale",0.053,20,26,"Cream Ale",16
"43",67,"Freetail Brewing Company","San Antonio"," TX","Modus Hoperandi",0.068,65,265,"American IPA",12
"44",68,"3 Daughters Brewing","St Petersburg"," FL","ESB Special Ale",0.057,58,265,"Extra Special / Strong Bitter (ESB)",12
"45",71,"Birdsong Brewing Company","Charlotte"," NC","Fat Tire Amber Ale (2008)",0.052,18,83,"American Amber / Red Ale",12
"46",76,"Bent Paddle Brewing Company","Duluth"," MN","Poleeko Gold Pale Ale (2009)",0.055,28,172,"American Pale Ale (APA)",12
